Event,Lap,Driver,GapToLeader_Secs
Australian Grand Prix,11.0,TSU,10.527
Australian Grand Prix,11.0,ALB,11.828
Australian Grand Prix,11.0,HUL,18.59
Australian Grand Prix,11.0,LAW,28.578
Australian Grand Prix,11.0,OCO,27.047
Australian Grand Prix,11.0,NOR,0.0
Australian Grand Prix,11.0,HAM,13.174
Australian Grand Prix,11.0,BOR,22.464
Australian Grand Prix,11.0,RUS,6.049
Australian Grand Prix,11.0,PIA,2.262
Australian Grand Prix,11.0,BEA,31.281
Australian Grand Prix,12.0,VER,1.228
Australian Grand Prix,12.0,GAS,16.972
Australian Grand Prix,12.0,ANT,22.61
Australian Grand Prix,12.0,ALO,18.516
Australian Grand Prix,12.0,LEC,9.826
Australian Grand Prix,12.0,STR,20.344
Australian Grand Prix,12.0,TSU,12.022
Australian Grand Prix,12.0,ALB,13.763
Australian Grand Prix,12.0,HUL,21.801
Australian Grand Prix,12.0,LAW,30.864
Australian Grand Prix,12.0,OCO,29.846
Australian Grand Prix,12.0,NOR,0.0
Australian Grand Prix,12.0,HAM,14.651
Australian Grand Prix,12.0,BOR,25.068
Australian Grand Prix,12.0,RUS,7.074
Australian Grand Prix,12.0,PIA,1.774
Australian Grand Prix,12.0,BEA,34.505
Australian Grand Prix,13.0,VER,1.181
Australian Grand Prix,13.0,GAS,18.929
Australian Grand Prix,13.0,ANT,24.989
Australian Grand Prix,13.0,ALO,20.713
Australian Grand Prix,13.0,LEC,10.706
Australian Grand Prix,13.0,STR,22.925
Australian Grand Prix,13.0,TSU,13.466
Australian Grand Prix,13.0,ALB,15.598
Australian Grand Prix,13.0,HUL,24.547
Australian Grand Prix,13.0,LAW,33.862
Australian Grand Prix,13.0,OCO,32.464
Australian Grand Prix,13.0,NOR,0.0
Australian Grand Prix,13.0,HAM,16.35
Australian Grand Prix,13.0,BOR,28.133
Australian Grand Prix,13.0,RUS,8.12
Australian Grand Prix,13.0,PIA,1.833
Australian Grand Prix,13.0,BEA,37.437
Australian Grand Prix,14.0,VER,1.025
Australian Grand Prix,14.0,GAS,20.993
Australian Grand Prix,14.0,ANT,27.996
Australian Grand Prix,14.0,ALO,22.582
Australian Grand Prix,14.0,LEC,12.359
Australian Grand Prix,14.0,STR,25.227
Australian Grand Prix,14.0,TSU,15.105
Australian Grand Prix,14.0,ALB,17.52
Australian Grand Prix,14.0,HUL,28.77
Australian Grand Prix,14.0,LAW,36.684
Australian Grand Prix,14.0,OCO,35.195
Australian Grand Prix,14.0,NOR,0.0
Australian Grand Prix,14.0,HAM,18.547
Australian Grand Prix,14.0,BOR,31.44
Australian Grand Prix,14.0,RUS,9.181
Australian Grand Prix,14.0,PIA,1.593
Australian Grand Prix,14.0,BEA,40.374
Australian Grand Prix,15.0,VER,1.127
Australian Grand Prix,15.0,GAS,23.511
Australian Grand Prix,15.0,ANT,29.982
Australian Grand Prix,15.0,ALO,24.68
Australian Grand Prix,15.0,LEC,13.979
Australian Grand Prix,15.0,STR,27.383
Australian Grand Prix,15.0,TSU,17.424
Australian Grand Prix,15.0,ALB,20.027
Australian Grand Prix,15.0,HUL,32.155
Australian Grand Prix,15.0,LAW,39.96
Australian Grand Prix,15.0,OCO,38.672
