EventName,Lap,Driver,GapToLeader_Secs
Bahrain Grand Prix,9.0,PIA,32.973
Bahrain Grand Prix,10.0,VER,0.0
Bahrain Grand Prix,10.0,GAS,59.504
Bahrain Grand Prix,10.0,PER,8.792
Bahrain Grand Prix,10.0,ALO,19.732
Bahrain Grand Prix,10.0,LEC,7.087
Bahrain Grand Prix,10.0,STR,21.016
Bahrain Grand Prix,10.0,SAR,31.991
Bahrain Grand Prix,10.0,MAG,40.055
Bahrain Grand Prix,10.0,DEV,38.107
Bahrain Grand Prix,10.0,TSU,35.577
Bahrain Grand Prix,10.0,ALB,29.971
Bahrain Grand Prix,10.0,ZHO,36.809
Bahrain Grand Prix,10.0,HUL,35.997
Bahrain Grand Prix,10.0,OCO,27.434
Bahrain Grand Prix,10.0,NOR,33.388
Bahrain Grand Prix,10.0,HAM,17.781
Bahrain Grand Prix,10.0,SAI,14.53
Bahrain Grand Prix,10.0,RUS,19.148
Bahrain Grand Prix,10.0,BOT,24.712
Bahrain Grand Prix,10.0,PIA,36.188
Bahrain Grand Prix,11.0,VER,0.0
Bahrain Grand Prix,11.0,GAS,59.783
Bahrain Grand Prix,11.0,PER,9.558
Bahrain Grand Prix,11.0,ALO,22.396
Bahrain Grand Prix,11.0,LEC,7.816
Bahrain Grand Prix,11.0,STR,23.456
Bahrain Grand Prix,11.0,SAR,35.04
Bahrain Grand Prix,11.0,MAG,43.621
Bahrain Grand Prix,11.0,DEV,45.084
Bahrain Grand Prix,11.0,TSU,56.937
Bahrain Grand Prix,11.0,ALB,35.436
Bahrain Grand Prix,11.0,ZHO,40.434
Bahrain Grand Prix,11.0,HUL,44.304
Bahrain Grand Prix,11.0,OCO,29.986
Bahrain Grand Prix,11.0,NOR,64.791
Bahrain Grand Prix,11.0,HAM,20.05
Bahrain Grand Prix,11.0,SAI,16.554
Bahrain Grand Prix,11.0,RUS,21.75
Bahrain Grand Prix,11.0,BOT,29.498
Bahrain Grand Prix,11.0,PIA,39.057
Bahrain Grand Prix,12.0,VER,0.0
Bahrain Grand Prix,12.0,GAS,60.12
Bahrain Grand Prix,12.0,PER,10.164
Bahrain Grand Prix,12.0,ALO,24.739
Bahrain Grand Prix,12.0,LEC,8.714
Bahrain Grand Prix,12.0,STR,25.904
Bahrain Grand Prix,12.0,SAR,40.329
Bahrain Grand Prix,12.0,MAG,46.375
Bahrain Grand Prix,12.0,DEV,67.677
Bahrain Grand Prix,12.0,TSU,57.489
Bahrain Grand Prix,12.0,ALB,56.29
Bahrain Grand Prix,12.0,ZHO,45.713
Bahrain Grand Prix,12.0,HUL,68.292
Bahrain Grand Prix,12.0,OCO,35.182
Bahrain Grand Prix,12.0,NOR,65.514
Bahrain Grand Prix,12.0,HAM,24.795
Bahrain Grand Prix,12.0,SAI,18.483
Bahrain Grand Prix,12.0,RUS,24.271
Bahrain Grand Prix,12.0,BOT,50.357
Bahrain Grand Prix,12.0,PIA,41.622
Bahrain Grand Prix,13.0,VER,0.0
Bahrain Grand Prix,13.0,GAS,60.987
Bahrain Grand Prix,13.0,PER,11.018
Bahrain Grand Prix,13.0,ALO,26.598
Bahrain Grand Prix,13.0,LEC,12.3
Bahrain Grand Prix,13.0,STR,28.542
Bahrain Grand Prix,13.0,SAR,62.102
Bahrain Grand Prix,13.0,MAG,49.547
Bahrain Grand Prix,13.0,DEV,68.119
Bahrain Grand Prix,13.0,TSU,58.478
Bahrain Grand Prix,13.0,ALB,56.457
Bahrain Grand Prix,13.0,ZHO,69.332
Bahrain Grand Prix,13.0,HUL,69.216
Bahrain Grand Prix,13.0,OCO,57.081
Bahrain Grand Prix,13.0,NOR,66.542
Bahrain Grand Prix,13.0,HAM,45.492
Bahrain Grand Prix,13.0,SAI,23.311
Bahrain Grand Prix,13.0,RUS,30.48
Bahrain Grand Prix,13.0,BOT,49.905
Bahrain Grand Prix,13.0,PIA,65.211
Bahrain Grand Prix,14.0,VER,0.0
Bahrain Grand Prix,14.0,GAS,58.551
Bahrain Grand Prix,14.0,PER,8.462
Bahrain Grand Prix,14.0,ALO,27.515
Bahrain Grand Prix,14.0,LEC,29.775
Bahrain Grand Prix,14.0,STR,27.249
Bahrain Grand Prix,14.0,SAR,59.22
